439 10 88
1	7125	11300	6	11
2	7225	11050	6	11
3	7225	11150	6	11
4	7375	11300	6	11
5	7500	11200	6	11
6	7625	11275	6	11
7	7725	11275	6	11
8	7825	11275	6	11
9	7925	11275	6	69
10	8050	11225	6	69
11	8050	11125	6	69
12	8150	11125	6	69
13	8275	11300	6	69
14	8400	11300	6	69
15	8525	11300	6	32
16	8650	11300	6	32
17	8750	11200	6	32
18	12475	10800	5	46
19	12075	10800	5	46
20	11975	10975	5	28
21	11575	10975	5	28
22	11525	10850	5	28
23	11400	10975	5	58
24	11425	10850	5	28
25	11000	10975	5	58
26	10475	10850	5	3
27	10375	10850	5	3
28	10300	10975	5	3
29	10250	10850	5	3
30	9900	10975	5	3
31	9850	10850	5	3
32	9350	11000	6	45
33	8750	11000	6	32
34	8650	10900	6	32
35	8525	10900	6	32
36	8400	10900	6	69
37	8275	10900	6	69
38	8050	10775	6	86
39	7900	10775	6	86
40	7925	10975	6	86
41	7825	10975	6	86
42	7750	10775	6	86
43	7725	10975	6	86
44	7600	10775	6	86
45	7625	10975	6	86
46	7500	11000	6	11
47	7425	10750	6	86
48	7325	10750	6	65
49	7375	10900	6	11
50	7225	10750	6	65
51	7125	10750	6	65
52	7125	10900	6	65
53	7125	10450	6	65
54	7225	10450	6	65
55	7325	10450	6	65
56	7425	10450	6	65
57	8300	10500	6	71
58	8600	10500	6	71
59	8950	10425	6	45
60	9050	10425	6	45
61	9150	10425	6	45
62	9350	10600	6	45
63	10200	10600	5	3
64	10700	10600	5	88
65	11375	10575	5	28
66	11525	10625	5	28
67	11650	10625	5	28
68	11775	10450	5	28
69	11775	10250	5	67
70	11650	10125	5	67
71	11525	10125	5	67
72	11375	10175	5	67
73	10250	10325	5	43
74	10250	10125	5	43
75	9275	10275	6	45
76	9175	10275	6	45
77	8950	10200	6	20
78	8750	10200	6	20
79	8050	10275	6	38
80	7900	10275	6	38
81	7750	10275	6	38
82	7600	10275	6	38
83	4975	10125	4	6
84	4750	10125	4	6
85	4525	10125	4	6
86	8750	10000	6	20
87	8950	10000	6	20
88	11375	10000	5	67
89	11475	10000	5	67
90	11575	10000	5	67
91	11675	10000	5	67
92	12100	9875	8	62
93	12225	9875	8	62
94	12350	9875	8	62
95	12750	9925	2	10
96	12875	9925	2	10
97	13125	9875	2	10
98	13000	9800	2	10
99	13000	9550	2	10
100	12600	9775	2	10
101	12600	9575	2	70
102	11975	9800	8	62
103	11975	9550	8	35
104	11675	9700	8	67
105	11575	9700	8	67
106	11475	9700	8	67
107	11375	9700	8	67
108	10975	9600	8	60
109	10850	9600	8	60
110	10375	9250	8	23
111	10475	9250	8	23
112	10575	9250	8	23
113	11725	9325	8	35
114	11850	9375	8	35
115	12100	9475	8	70
116	12050	9275	8	70
117	12225	9475	8	70
118	12150	9275	8	70
119	12250	9275	8	70
120	12350	9475	8	70
121	12350	9275	8	70
122	12525	9325	2	70
123	12750	9425	2	70
124	12775	9275	2	54
125	12875	9425	2	54
126	12875	9275	2	54
127	12975	9275	2	54
128	13125	9475	2	74
129	13075	9275	2	74
130	13250	9375	2	74
131	13375	9375	2	74
132	13500	9375	2	74
133	13625	9375	2	74
134	13075	8975	2	54
135	12975	8975	2	54
136	12875	8975	2	54
137	12775	8975	2	54
138	12525	8925	2	54
139	12350	8975	8	70
140	12250	8975	8	70
141	12150	8975	8	70
142	12050	8975	8	70
