100 25 20
1	1380	939	12	10
2	2848	96	1	4
3	3510	1671	15	14
4	457	334	19	16
5	3888	666	23	8
6	984	965	12	9
7	2721	1482	4	7
8	1286	525	6	6
9	2716	1432	4	7
10	738	1325	25	12
11	1251	1832	16	12
12	2728	1698	11	7
13	3815	169	13	15
14	3683	1533	8	14
15	1247	1945	16	3
16	123	862	7	11
17	1234	1946	16	12
18	252	1240	10	11
19	611	673	3	16
20	2576	1676	11	7
21	928	1700	9	12
22	53	857	7	11
23	1807	1711	18	3
24	274	1420	10	5
25	2574	946	21	18
26	178	24	19	2
27	2678	1825	11	17
28	1795	962	17	10
29	3384	1498	15	14
30	3520	1079	23	20
31	1256	61	2	6
32	1424	1728	20	3
33	3913	192	13	15
34	3085	1528	15	14
35	2573	1969	11	17
36	463	1670	10	5
37	3875	598	23	8
38	298	1513	10	5
39	3479	821	23	20
40	2542	236	1	4
41	3955	1743	8	1
42	1323	280	6	6
43	3447	1830	15	14
44	2936	337	5	4
45	1621	1830	18	3
46	3373	1646	15	14
47	1393	1368	20	19
48	3874	1318	8	1
49	938	955	12	9
50	3022	474	5	13
51	2482	1183	21	18
52	3854	923	23	8
53	376	825	7	11
54	2519	135	1	4
55	2945	1622	11	7
56	953	268	2	16
57	2628	1479	4	7
58	2097	981	17	10
59	890	1846	9	12
60	2139	1806	22	17
61	2421	1007	21	18
62	2290	1810	22	17
63	1115	1052	12	9
64	2588	302	1	4
65	327	265	19	2
66	241	341	19	2
67	1917	687	17	10
68	2991	792	5	13
69	2573	599	24	18
70	19	674	7	11
71	3911	1673	8	1
72	872	1559	9	12
73	2863	558	5	13
74	929	1766	9	12
75	839	620	3	16
76	3893	102	13	15
77	2178	1619	22	17
78	3822	899	23	8
79	378	1048	25	11
80	1178	100	2	6
81	2599	901	21	18
82	3416	143	14	15
83	2961	1605	11	7
84	611	1384	25	12
85	3113	885	5	13
86	2597	1830	11	17
87	2586	1286	4	7
88	161	906	7	11
89	1429	134	6	6
90	742	1025	25	9
91	1625	1651	18	3
92	1187	706	12	9
93	1787	1009	17	10
94	22	987	7	11
95	3640	43	14	15
96	3756	882	23	20
97	776	392	3	16
98	1724	1642	18	3
99	198	1810	10	5
100	3950	1558	8	1
